room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
6291807,16375951,Entire home/apt,,Jamaica Plain,1,,4,2,119,14,42.29816,-71.11153,58:16.6
2656568,13597630,Entire home/apt,,Back Bay,0,,2,1,600,1,42.348072,-71.076639,58:06.0
10723203,15913699,Private room,,Allston,2,,2,1,96,1,42.350588,-71.129477,57:39.1
10034592,20399668,Private room,,Dorchester,13,5,2,1,55,1,42.317168,-71.040483,57:28.7
5454513,4962900,Entire home/apt,,Back Bay,13,4.5,5,2,276,,42.346598,-71.080123,56:56.2
335730,290698,Private room,,East Boston,34,3.5,9,1,70,1,42.39001,-70.996161,56:44.2
7635616,22348222,Entire home/apt,,Beacon Hill,3,5,2,0,155,7,42.359601,-71.063908,56:18.9
12808014,28197086,Private room,,Allston,0,,1,1,65,1,42.351883,-71.130772,56:12.4
6793913,30283594,Entire home/apt,,Fenway,2,,5,2,571,3,42.343305,-71.101489,55:57.0
586994,2894162,Entire home/apt,,Beacon Hill,47,4.5,2,1,160,4,42.358926,-71.063109,54:56.8
1373520,1220808,Private room,,Mission Hill,53,4.5,2,1,125,1,42.327459,-71.099318,54:49.5
4369766,6846812,Private room,,Back Bay,62,5,2,1,170,2,42.345938,-71.086337,54:28.6
9992532,30283594,Entire home/apt,,Back Bay,0,,5,2,571,3,42.34671,-71.077707,54:25.2
1187188,2238969,Entire home/apt,,Jamaica Plain,17,5,4,2,240,3,42.306928,-71.107894,54:16.9
5824015,30228015,Private room,,Allston,0,,2,1,50,1,42.35325,-71.129579,54:09.4
9992751,30283594,Entire home/apt,,Back Bay,0,,5,2,199,3,42.346439,-71.079199,54:00.2
9362821,48584100,Private room,,Roxbury,27,4.5,2,1,83,1,42.337771,-71.080901,53:51.3
213086,886871,Private room,,Dorchester,16,4.5,1,1,70,2,42.317216,-71.055244,53:47.5
8388481,26956083,Private room,,Brighton,3,5,2,1,89,2,42.358573,-71.140601,53:16.3
95453,508268,Entire home/apt,,Allston,9,5,2,0,175,5,42.359372,-71.13156,53:07.3
3060038,15575274,Private room,,Brighton,17,4.5,1,1,67,1,42.347369,-71.138246,51:30.1
6551454,29224952,Entire home/apt,,Brighton,0,,2,3,150,3,42.339393,-71.146918,51:24.5
7602994,30988954,Private room,,Allston,5,5,1,1,25,7,42.35288,-71.125119,51:01.5
6728819,2847302,Private room,,Fenway,5,4,2,1,95,1,42.339501,-71.092941,50:17.5
9118262,21184200,Entire home/apt,,Back Bay,19,4.5,14,3,280,1,42.34996,-71.087649,49:57.8
8539551,1551509,Private room,,Mission Hill,23,4.5,1,1,89,1,42.331966,-71.103274,49:53.6
13007354,20696611,Private room,,Allston,0,,1,1,50,1,42.355492,-71.129394,48:13.7
7330494,38403389,Entire home/apt,,South Boston,54,5,2,1,180,,42.330625,-71.05558,47:51.2
4995033,11206328,Entire home/apt,,Beacon Hill,27,5,3,2,220,2,42.359749,-71.066178,47:24.4
6954861,36453929,Private room,,Brighton,61,5,2,1,85,1,42.338819,-71.148039,47:08.7
12254824,2086352,Entire home/apt,,Allston,0,,2,1,150,5,42.365224,-71.129209,46:56.5
4489588,12776560,Entire home/apt,,Downtown,16,5,2,1,249,1,42.355223,-71.057704,46:24.6
2441095,3594203,Entire home/apt,,East Boston,66,4,4,2,129,2,42.380163,-71.035852,45:37.4
11760822,50437930,Entire home/apt,,Brighton,4,5,4,1,140,2,42.340296,-71.150788,45:06.5
7573274,30283594,Entire home/apt,,Fenway,2,,5,2,571,3,42.344895,-71.100031,44:01.5
10742655,16938558,Private room,,Downtown,2,,8,1,70,1,42.359707,-71.055284,43:49.5
10118379,30283594,Entire home/apt,,West End,0,,3,1,169,10,42.36319,-71.069105,43:16.6
4934600,25424192,Entire home/apt,,Dorchester,48,5,4,1,150,,42.295366,-71.05958,42:25.4
12891224,14004174,Private room,,Brighton,0,,2,1,55,3,42.344096,-71.167306,42:09.3
13062783,44620221,Private room,,Mission Hill,0,,1,1,60,1,42.330521,-71.105698,40:31.8
12233285,25938928,Entire home/apt,,East Boston,4,4.5,2,1,60,2,42.366928,-71.040173,40:28.8
8101338,13263766,Shared room,,Allston,1,,1,1,50,1,42.348866,-71.139228,40:17.3
4402209,8139434,Private room,,Allston,11,5,2,1,100,1,42.352081,-71.135991,39:16.7
5511911,25079218,Entire home/apt,,North End,1,,2,1,240,2,42.365091,-71.055525,39:09.0
11638661,59082726,Private room,,North End,4,4.5,1,1,100,1,42.364477,-71.052188,39:03.4
6764572,35411494,Private room,,Jamaica Plain,35,5,2,1,79,,42.318578,-71.106278,39:00.3
3585343,10332798,Private room,,South Boston,34,4.5,2,1,110,2,42.340395,-71.053735,38:37.4
1487970,7956873,Entire home/apt,,Back Bay,4,5,2,1,199,2,42.346649,-71.08689,38:34.7
11020786,4776690,Entire home/apt,,South Boston,9,5,10,3,199,,42.338983,-71.037399,21:01.1
7035556,15589117,Entire home/apt,,East Boston,12,5,2,1,150,2,42.363827,-71.029303,20:59.1
12186553,15589117,Entire home/apt,,East Boston,0,,2,1,165,2,42.365856,-71.031136,20:55.0
7277653,30172860,Private room,,Allston,40,5,2,1,70,1,42.363177,-71.133641,20:23.0
9364092,24904722,Entire home/apt,,Fenway,4,5,2,1,158,3,42.34513,-71.090742,19:56.6
1136972,1480518,Private room,,Jamaica Plain,244,5,2,1,60,1,42.294442,-71.119945,18:48.5
2513870,12867663,Entire home/apt,,South End,0,,4,1,300,14,42.344826,-71.076875,18:29.3
1327725,7205617,Entire home/apt,,Brighton,113,4.5,4,2,120,3,42.345668,-71.139219,18:22.8
9993559,51342173,Entire home/apt,,Jamaica Plain,1,,2,1,90,1,42.321646,-71.115719,18:13.3
7462268,19548932,Private room,,Allston,20,5,2,1,20,1,42.358198,-71.129016,18:03.1
8048089,42082054,Entire home/apt,,Beacon Hill,2,,2,1,135,1,42.358823,-71.063974,17:33.6
10153739,30283594,Entire home/apt,,Mission Hill,0,,3,1,457,3,42.333365,-71.099992,17:30.1
12897590,70637430,Private room,,Allston,0,,1,1,69,2,42.35167,-71.126028,17:26.3
336946,1713739,Entire home/apt,,Jamaica Plain,53,4.5,3,1,125,1,42.288258,-71.113067,17:09.0
11653496,6950436,Entire home/apt,,South Boston,2,,6,2,268,1,42.330177,-71.052348,16:01.7
3693850,18807469,Private room,,Jamaica Plain,151,5,2,1,69,1,42.299824,-71.112572,15:49.4
12563549,34226261,Entire home/apt,,Downtown,0,,3,1,400,1,42.35771,-71.056722,14:58.0
6730758,207475,Private room,,Jamaica Plain,33,5,4,1,125,2,42.31452,-71.105587,14:55.0
9425902,5717433,Entire home/apt,,North End,2,,2,1,140,1,42.366524,-71.052132,14:35.6
12890140,54064917,Private room,,Brighton,0,,3,1,55,3,42.342328,-71.16733,14:19.4
11432300,60063253,Entire home/apt,,Downtown,0,,2,1,252,3,42.357566,-71.056582,14:11.0
10053369,30283594,Entire home/apt,,South Boston Waterfront,0,,3,1,457,3,42.353034,-71.047768,14:07.9
7052847,10336060,Private room,,Allston,0,,2,1,60,18,42.352806,-71.123981,13:52.3
2443944,4442258,Entire home/apt,,Jamaica Plain,0,,5,3,500,4,42.321233,-71.115689,13:45.6
1178162,1407005,Private room,,East Boston,195,4.5,2,1,90,1,42.377796,-71.034666,13:31.7
3420384,431385,Private room,,Roslindale,0,,4,1,150,3,42.274408,-71.125294,13:17.3
12232615,17893434,Private room,,Downtown,0,,2,1,250,1,42.354077,-71.06314,13:12.9
12308161,66371429,Private room,,South End,7,5,2,1,119,,42.339755,-71.079004,12:45.9
11256475,54064917,Private room,,Brighton,0,,4,1,58,2,42.342746,-71.167468,11:52.7
3415434,16442921,Private room,,Dorchester,8,4,1,1,63,4,42.320429,-71.052252,11:45.5
8063870,9419684,Entire home/apt,,Fenway,2,,3,1,272,3,42.345378,-71.100018,11:07.5
13066225,42820495,Shared room,,Downtown,0,,1,1,59,,42.355813,-71.062458,11:04.0
12930634,70983352,Entire home/apt,,Allston,0,,3,1,140,4,42.365258,-71.119686,11:01.5
2384107,4004495,Entire home/apt,,South Boston Waterfront,15,5,3,1,375,3,42.348495,-71.048172,10:38.6
11986653,25716456,Private room,,South Boston,8,4,4,1,55,1,42.323757,-71.051812,10:16.8
8956082,10795653,Private room,,Allston,3,5,1,1,75,1,42.348184,-71.137244,08:57.0
40601,174986,Private room,,Jamaica Plain,47,5,2,1,95,4,42.315099,-71.111079,08:39.2
1322461,7178644,Entire home/apt,,Back Bay,69,5,2,1,199,2,42.34962,-71.07772,07:35.5
10809,38440,Private room,,Allston,10,3.5,4,1,100,1,42.354788,-71.132088,07:16.4
1966195,9419684,Entire home/apt,,Downtown,19,5,5,2,299,3,42.350898,-71.063213,07:05.9
2701124,13822322,Entire home/apt,,Fenway,22,4.5,4,1,280,3,42.344791,-71.086584,06:57.0
5447285,28254412,Private room,,Brighton,0,,2,1,44,1,42.34028,-71.143274,06:42.5
7900936,41658743,Private room,,Hyde Park,20,5,2,1,80,1,42.242005,-71.123778,06:16.3
7513605,22348222,Entire home/apt,,South End,2,,2,0,155,7,42.345046,-71.075765,05:38.0
8164953,30283594,Entire home/apt,,Fenway,0,,5,1,199,3,42.344543,-71.099308,05:34.9
4461901,22348222,Private room,,South End,2,,2,1,155,7,42.344677,-71.077623,05:17.8
894539,4762495,Private room,,Roslindale,34,5,2,1,95,1,42.290904,-71.130238,05:02.5
8704161,45692962,Entire home/apt,,Beacon Hill,12,5,4,2,500,2,42.360473,-71.062929,04:59.2
5086521,1868179,Entire home/apt,,Fenway,16,5,3,0,142,2,42.340861,-71.088289,04:39.1
6744206,4192732,Private room,,Allston,92,4.5,2,1,60,1,42.360616,-71.130692,04:06.8
9166002,3169119,Entire home/apt,,Leather District,0,,4,2,295,1,42.351251,-71.05893,04:03.8
5726250,29688938,Entire home/apt,,Charlestown,13,5,6,4,475,2,42.379946,-71.062233,04:01.0
4287348,22257404,Private room,,South Boston,39,4.5,1,1,90,1,42.330784,-71.046889,03:49.3
